feature
sma_25_7d
returns_8h
returns_24h
returns
macd_7d
returns_3d
rsi_14_7d
rsi_14
rsi_14_8h
rsi_14_1h
macd_8h
stoch_k
returns_1h
cci_20
macd_1h
